,Name,Geometry,Address,Description,Lattitude,Longitude,Category
169,Sperone Westwater,POINT (-73.99926239580837 40.72544340968263),121 Greene St,,-73.99926239580837,40.72544340968263,Art_Gallery
170,Spring,POINT (-73.98739580880391 40.70224827687764),126 Front St,,-73.98739580880391,40.70224827687764,Art_Gallery
171,Sragow Ellen Ltd,POINT (-73.99302490428965 40.74652176477976),153 West 27th Street,,-73.99302490428965,40.74652176477976,Art_Gallery
172,St Etienne Galerie,POINT (-73.97562840191033 40.76331815027905),24 W 57th St,,-73.97562840191033,40.76331815027905,Art_Gallery
173,Staley-Wise Gallery,POINT (-73.9976700930255 40.72388325006023),560 Broadway,,-73.9976700930255,40.72388325006023,Art_Gallery
174,Start,POINT (-74.00158103055105 40.7219883380336),50 Greene St,,-74.00158103055105,40.7219883380336,Art_Gallery
175,State of Art,POINT (-73.95791517359595 40.73022121777638),113 Franklin St,,-73.95791517359595,40.73022121777638,Art_Gallery
176,Steigrad Lawrence Fine Arts,POINT (-73.96622595705455 40.769820128615144),23 E 69th St,,-73.96622595705455,40.769820128615144,Art_Gallery
177,Stein Gertrude Gallery,POINT (-73.98049753870134 40.76544488935683),200 West 57th Street,,-73.98049753870134,40.76544488935683,Art_Gallery
178,Stephen Downes Gallery,POINT (-73.99647297058152 40.720124872165876),377 Broome St,,-73.99647297058152,40.720124872165876,Art_Gallery
179,Stewart Waltzer Co,POINT (-74.00394089705402 40.7287135272124),200 W Houston St,,-74.00394089705402,40.7287135272124,Art_Gallery
180,Storefront For Art and Architecture,POINT (-73.9970682973752 40.72147742820455),97 Kenmare St,,-73.9970682973752,40.72147742820455,Art_Gallery
181,"Stricoff Fine Art, Ltd.",POINT (-74.0057107770999 40.74989327559004),564 W 25th St,,-74.0057107770999,40.74989327559004,Art_Gallery
182,Studio Gallery,POINT (-73.97428548023957 40.78933482906021),205 W 88th St,,-73.97428548023957,40.78933482906021,Art_Gallery
183,Studio Tamar,POINT (-73.98429765855359 40.73821552093811),152 E 22nd St,,-73.98429765855359,40.73821552093811,Art_Gallery
184,Stux Gallery,POINT (-74.0048091965919 40.74932238784064),530 W 25th St,,-74.0048091965919,40.74932238784064,Art_Gallery
185,Sugarhill Arts Center,POINT (-73.94709266575242 40.830220401900085),3658 Broadway,,-73.94709266575242,40.830220401900085,Art_Gallery
186,Suite 106,POINT (-73.99892431070742 40.72359612141827),112 Mercer St,,-73.99892431070742,40.72359612141827,Art_Gallery
187,Sun Yi Jun,POINT (-73.9953458096245 40.71676281529191),83 Bowery,,-73.9953458096245,40.71676281529191,Art_Gallery
188,Susan Aberbach Fine Art,POINT (-73.97168388843812 40.76228904795565),41 E 57th St,,-73.97168388843812,40.76228904795565,Art_Gallery
189,Susan Megson Gallery,POINT (-74.00081320910148 40.72624920444544),456 W Broadway,,-74.00081320910148,40.72624920444544,Art_Gallery
190,Susan Rolfe Associates Fine Arts Ltd,POINT (-73.9711103443112 40.76448430163076),654 Madison Ave,,-73.9711103443112,40.76448430163076,Art_Gallery
191,Susan Sheehan Gallery,POINT (-74.00605481573004 40.747911706928555),535 West 22nd Street,,-74.00605481573004,40.747911706928555,Art_Gallery
192,Sutherland M,POINT (-73.96722779023571 40.766960246471086),620 Park Ave,,-73.96722779023571,40.766960246471086,Art_Gallery
193,Swiss Institute,POINT (-74.00006289362192 40.72224748487797),495 Broadway,,-74.00006289362192,40.72224748487797,Art_Gallery
194,Taglialatella Dominic J,POINT (-74.00394584152615 40.74952510204985),511 West 25th Street,,-74.00394584152615,40.74952510204985,Art_Gallery
195,Takako Tsuji Gallery,POINT (-73.97173794165505 40.762212046489296),41 E 57th St,,-73.97173794165505,40.762212046489296,Art_Gallery
196,Talwar Gallery,POINT (-73.98882748825802 40.7354581457437),108 E 16th St,,-73.98882748825802,40.7354581457437,Art_Gallery
197,Tambaran Gallery,POINT (-73.96139898564891 40.77879668705261),5 E 82nd St,,-73.96139898564891,40.77879668705261,Art_Gallery
198,Tang Sarina,POINT (-73.96443413679928 40.774990807616135),3 E 76th St,,-73.96443413679928,40.774990807616135,Art_Gallery
199,Tanya Bonakdar Galery,POINT (-74.00619627853678 40.7471718785601),521 W 21st St,,-74.00619627853678,40.7471718785601,Art_Gallery
200,Tate,POINT (-74.00618826198466 40.74160876928588),413 W 14th St,,-74.00618826198466,40.74160876928588,Art_Gallery
201,Tatistcheff Gallery Inc,POINT (-74.00694992343615 40.746593654628896),529 West 20th Street,,-74.00694992343615,40.746593654628896,Art_Gallery
202,Team Gallery,POINT (-74.00393729550223 40.75021954194053),527 W. 26th St.,,-74.00393729550223,40.75021954194053,Art_Gallery
203,Teller Susan Gallery,POINT (-73.99746436311553 40.72429065859904),568 Broadway,,-73.99746436311553,40.72429065859904,Art_Gallery
204,Tenri Cultural Institute,POINT (-73.99609362076046 40.73640266876522),43A W. 13th St.,,-73.99609362076046,40.73640266876522,Art_Gallery
205,Thaw E V & Co,POINT (-73.96487147686322 40.77042622615332),726 Park Ave,,-73.96487147686322,40.77042622615332,Art_Gallery
206,The Affordable Art Fair Llc,POINT (-73.99907018734407 40.741281452486206),216 W 18th St,,-73.99907018734407,40.741281452486206,Art_Gallery
207,The Axa Gallery,POINT (-73.98178280268492 40.76169418454769),787 7th Ave,,-73.98178280268492,40.76169418454769,Art_Gallery
208,The Bohen Foundation,POINT (-74.00650280703749 40.74080796161279),415 W 13th St,,-74.00650280703749,40.74080796161279,Art_Gallery
209,The Chinese Art Gallery,POINT (-73.965656949278 40.75795522036082),1050 2nd Ave,,-73.965656949278,40.75795522036082,Art_Gallery
210,The Dollhaus Art Gallery,POINT (-73.96728726366906 40.710901835702906),37 Broadway,,-73.96728726366906,40.710901835702906,Art_Gallery
211,The Gallery 172,POINT (-73.87491939831187 40.831580396853354),1620 E 172nd St,,-73.87491939831187,40.831580396853354,Art_Gallery
212,The Old Print Shop Inc,POINT (-73.98210767882377 40.743741261738705),150 Lexington Ave,,-73.98210767882377,40.743741261738705,Art_Gallery
213,The Phatory Llc,POINT (-73.97947469330362 40.7257216580395),618 E 9th St,,-73.97947469330362,40.7257216580395,Art_Gallery
214,The Q Department,POINT (-74.00036767715117 40.719663113594706),28 Howard St,,-74.00036767715117,40.719663113594706,Art_Gallery
215,The Scene Gallery,POINT (-73.99097517163823 40.721062061560076),42 Rivington St,,-73.99097517163823,40.721062061560076,Art_Gallery
216,Thicket,POINT (-74.00824904575869 40.71858122441153),10 Leonard St,,-74.00824904575869,40.71858122441153,Art_Gallery
217,Think Art Gallery,POINT (-73.99403188876548 40.7546672150301),336 W 37th St,,-73.99403188876548,40.7546672150301,Art_Gallery
218,Thomas & Hirsch,POINT (-74.0022847048919 40.72343124213582),375 W Broadway,,-74.0022847048919,40.72343124213582,Art_Gallery
219,Thomas Erben Gallery,POINT (-74.00429401112444 40.749896437561546),526 W 26th St,,-74.00429401112444,40.749896437561546,Art_Gallery
