,Names,Geometry,Address,Lattitude,Longitude,Category,Details
1241,Monument to Eagles at Central Park,POINT(992123.6151463093 219092.91127331555),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992123.615146309,219092.911273316,Park,Dedicated 1941
1242,Monument to Eagles at Central Park,POINT(992037.926997468 218969.0017442256),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992037.926997468,218969.001744226,Park,Dedicated 1941
1243,Monument to Eagles at Central Park,POINT(992102.92686747 219103.3266068101),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992102.92686747,219103.32660681,Park,Dedicated 1941
1244,Monument to Mowgli Skins the Tiger at Prospect Park,POINT(994102.7266736327 181802.99602389336),"Prospect Park Zoo; Flatbush Avenue entrance, west side of southern kiosk",994102.726673633,181802.996023893,Park,Dedicated 1935
1245,Monument to Eagles at Central Park,POINT(992032.3679534644 219055.3946160674),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992032.367953464,219055.394616067,Park,Dedicated 1941
1246,Monument to Eagles at Central Park,POINT(992017.7606992276 219032.4031922221),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992017.760699228,219032.403192222,Park,Dedicated 1941
1247,Monument to Eagles at Central Park,POINT(992108.6847299637 218985.27631798387),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992108.684729964,218985.276317984,Park,Dedicated 1941
1248,Monument to Eagles at Central Park,POINT(992104.2572453916 219146.8783569783),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992104.257245392,219146.878356978,Park,Dedicated 1941
1249,Monument to Eagles at Central Park,POINT(992120.776241228 219008.0682671368),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992120.776241228,219008.068267137,Park,Dedicated 1941
1250,Monument to Eagles at Central Park,POINT(992054.1123325528 218962.2543823868),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992054.112332553,218962.254382387,Park,Dedicated 1941
1251,Monument to Eagles at Central Park,POINT(992123.6151463093 219092.91127331555),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992123.615146309,219092.911273316,Park,Dedicated 1941
1252,Monument to Eagles at Central Park,POINT(992037.926997468 218969.0017442256),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992037.926997468,218969.001744226,Park,Dedicated 1941
1253,Monument to Eagles at Central Park,POINT(992102.92686747 219103.3266068101),"Central Park Wildlife Center, Fifth Avenue at 64th Street",992102.92686747,219103.32660681,Park,Dedicated 1941
1254,Monument to General Henry Warner Slocum at Prospect Park,POINT(992813.841784224 184627.9992321432),"East Plaza Street, east of Soldiers and Sailors Memorial Arch",992813.841784224,184627.999232143,Park,"Dedicated May 30, 1905"
1255,Monument to Bound Hands Rising Free at McCarren Park,POINT(997351.2716857196 202646.6331423074),Father Jerzy Popieluszko Square; Bedford and Nassau Avenues,997351.27168572,202646.633142307,Park,"Dedicated May, 2000"
1256,Monument to Heinrich Heine Fountain at Joyce Kilmer Park,POINT(1005507.6621970534 240764.94929397103),At southern end of park,1005507.66219705,240764.949293971,Park,"Dedicated July 8, 1899"
1257,Monument to Seat at Owen F. Dolen Golden Age Center,POINT(1027737.4012020528 245477.80502572656),"East Tremont Lane and Westchester Avenue; Westchester Square, facing Benson Street",1027737.40120205,245477.805025727,Park,"Dedicated October 20, 1987"
1258,Monument to Ibis Totem at Crotona Park,POINT(1012541.7370396404 245314.42018190023),Crotona Pool Bath House façade,1012541.73703964,245314.4201819,Park,Dedicated ca. 1936
1259,Monument to Robert Fulton at Fulton Park,POINT(1002867.4762044698 186936.9644304812),Schenectady Avenue and Fulton Street,1002867.47620447,186936.964430481,Park,Dedicated 1955
1260,Monument to Crack Is Wack at Crack Is Wack Playground,POINT(1003119.96421656 232466.2427943051),"E 128 ST, 2 AVE & HARLEM RIVER DRIVE",1003119.96421656,232466.242794305,Park,Dedicated 1986
1261,Monument to First Symphony of the Sea at Coney Island Beach,POINT(991043.8387625515 148300.21755714717),Riegelmann Boardwalk / Louis Valentino Jr. Way,991043.838762552,148300.217557147,Park,"Dedicated June 26, 1993"
1262,Monument to Soldiers and Sailors Monument at Major John W. Mark Park,POINT(1042872.5133202224 198629.998459056),173rd Street and Hillside,1042872.51332022,198629.998459056,Park,Dedicated 1896
1263,Monument to Urns - central park (4) at Central Park,POINT(992150.1866154672 221008.30278372765),Mall,992150.186615467,221008.302783728,Park,Dedicated nan
1264,Monument to Urns - central park (4) at Central Park,POINT(992077.1434544772 220693.8591868877),Mall,992077.143454477,220693.859186888,Park,Dedicated nan
1265,Monument to Urns - central park (4) at Central Park,POINT(992266.6998338848 220942.15363781157),Mall,992266.699833885,220942.153637812,Park,Dedicated nan
1266,Monument to Urns - central park (4) at Central Park,POINT(992180.6261871308 220669.36120440063),Mall,992180.626187131,220669.361204401,Park,Dedicated nan
1267,Monument to Grant's Tomb Eagles at Riverside Park,POINT(994413.9301194698 235563.0338448137),122nd St.,994413.93011947,235563.033844814,Park,Dedicated nan
1268,Monument to Grant's Tomb Eagles at Riverside Park,POINT(994477.6461993904 235541.1388754696),122nd St.,994477.64619939,235541.13887547,Park,Dedicated nan
1269,Monument to Speeder at Crotona Park,POINT(1012465.513438806 245171.5008483082),Crotona Pool Bath House,1012465.51343881,245171.500848308,Park,Dedicated ca. 1936
1270,Monument to World's Fair Flagstaffs at Flushing Meadows / Corona Park,POINT(1028931.7692201436 211811.6892872304),,1028931.76922014,211811.68928723,Park,Dedicated nan
1271,Monument to World's Fair Flagstaffs at Flushing Meadows / Corona Park,POINT(1028771.929972887 212170.9694085568),,1028771.92997289,212170.969408557,Park,Dedicated nan
1272,Monument to Marie Sklodowska Curie at City Hall Park,POINT(982271.6332098842 198953.23895430565),,982271.633209884,198953.238954306,Park,Dedicated 1934
1273,Monument to Rocky Mountain Goats at Central Park,POINT(991947.8399073036 218868.5124439001),"Central Park Zoo; Central Park Wildlife Center, west side of south façade",991947.839907304,218868.5124439,Park,Dedicated 1935
1274,Monument to Charging Bull at Bowling Green,POINT(980522.6091488898 196334.8859233111),"Broadway, center island north of Bowling Green",980522.60914889,196334.885923311,Park,Dedicated December 1989
1275,Monument to Frank J. Goodwin at Chelsea Park,POINT(984429.9664916396 212360.82992123067),9th Avenue at 27th Street,984429.96649164,212360.829921231,Park,Dedicated 1926
1276,Monument to Marine Amphitheater Groups at Flushing Meadows / Corona Park,POINT(1028102.5602486432 208588.25347688797),Ederle Terrace Concession Building,1028102.56024864,208588.253476888,Park,Dedicated 1939
1277,Monument to Fort Tryon Park Flagstaff at Fort Tryon Park,POINT(1002793.623005718 253269.85669881105),"Linden Terrace,  Riverside Drive and 192nd Street to Dyckman Street",1002793.62300572,253269.856698811,Park,Dedicated 1939
